Y_mm,S2_RX1_Low,S2_RX2_Low,S2_RX3_Low,S2_RX4_Low,S2_RX5_Low,S2_RX6_Low,S2_RX7_Low,S2_RX8_Low,S2_RX9_Low,S2_RX10_Low,S2_RX11_Low,S2_RX12_Low,S2_RX13_Low,S2_RX14_Low,S2_RX15_Low,S2_RX16_Low,S2_RX17_Low,S2_RX18_Low,S2_RX19_Low,S2_RX20_Low,S2_RX21_Low,S2_RX22_Low,S2_RX23_Low,S2_RX24_Low,S2_RX25_Low,S2_RX26_Low,S2_RX27_Low,S2_RX28_Low,S2_RX29_Low,S2_RX30_Low,S2_RX31_Low,S2_RX32_Low,S2_RX1_High,S2_RX2_High,S2_RX3_High,S2_RX4_High,S2_RX5_High,S2_RX6_High,S2_RX7_High,S2_RX8_High,S2_RX9_High,S2_RX10_High,S2_RX11_High,S2_RX12_High,S2_RX13_High,S2_RX14_High,S2_RX15_High,S2_RX16_High,S2_RX17_High,S2_RX18_High,S2_RX19_High,S2_RX20_High,S2_RX21_High,S2_RX22_High,S2_RX23_High,S2_RX24_High,S2_RX25_High,S2_RX26_High,S2_RX27_High,S2_RX28_High,S2_RX29_High,S2_RX30_High,S2_RX31_High,S2_RX32_High
0.0000,-45.6569,-47.4202,-47.3189,-46.6415,-46.6937,-47.3285,-46.5577,-47.0221,-45.3080,-46.7875,-46.7593,-47.2944,-46.3219,-46.0784,-47.6763,-46.5862,-46.5142,-47.8042,-46.2161,-44.3839,-46.9401,-46.6923,-46.5924,-44.4568,-48.5610,-47.8451,-44.7043,-42.1865,-50.3813,-44.3912,-43.4513,-41.7585,-42.0739,-42.7587,-42.5064,-43.4029,-41.8836,-43.3448,-42.4944,-43.8950,-40.5206,-42.8298,-43.5003,-42.1398,-40.8151,-41.7284,-42.0396,-41.8390,-42.5078,-42.4834,-41.5708,-40.1870,-42.0871,-42.8274,-41.8569,-39.8586,-43.6321,-42.6743,-40.7170,-40.0431,-46.8604,-41.9387,-38.8746,-38.6476
10.0000,-47.0749,-47.1546,-48.1066,-46.2327,-45.4974,-47.0889,-47.8969,-47.4434,-45.5348,-47.4516,-46.8410,-47.3119,-45.8239,-46.0635,-47.3078,-46.0981,-44.7689,-47.5007,-46.4315,-45.7041,-45.8798,-48.0180,-46.4742,-44.2019,-47.6288,-47.2796,-43.5641,-42.2874,-50.7454,-45.1219,-43.8760,-41.7435,-41.6964,-43.1154,-42.3274,-42.7427,-41.1289,-42.9935,-43.7832,-42.3667,-41.6206,-42.6456,-42.2821,-42.2829,-40.4051,-43.1385,-43.4088,-42.5986,-42.4930,-43.6469,-43.2012,-41.1786,-43.1464,-43.8467,-41.8376,-40.3577,-43.9093,-43.7166,-40.9187,-38.2793,-45.4600,-40.5446,-38.8617,-37.0235
20.0000,-46.3004,-46.6153,-47.9998,-46.5721,-45.6559,-46.4734,-46.5267,-46.3717,-44.7328,-47.0270,-46.6747,-45.8149,-44.6985,-47.6437,-46.8444,-45.9994,-46.5280,-46.8821,-47.0715,-44.4190,-46.7129,-47.2746,-46.0112,-43.1361,-47.7146,-47.3058,-44.5164,-43.1161,-50.2990,-45.2578,-43.0487,-40.9960,-41.1491,-42.5178,-43.6558,-42.9366,-42.6686,-42.3500,-43.7485,-42.5076,-40.6582,-41.6594,-42.4276,-42.6267,-40.9200,-43.2979,-43.2283,-41.8609,-41.8551,-43.5807,-42.7448,-41.7733,-41.8670,-43.9770,-41.2833,-39.4188,-42.9856,-42.7500,-40.1124,-38.3629,-45.4607,-41.9347,-39.9547,-38.7708
30.0000,-45.4245,-46.1808,-46.9598,-46.9702,-46.7303,-47.3929,-46.7574,-47.7542,-45.1812,-46.8681,-47.0908,-46.0827,-45.3803,-46.2510,-46.8392,-46.2501,-45.1744,-47.7561,-46.3646,-45.6551,-46.0144,-47.2250,-44.8830,-43.9160,-48.6215,-47.4159,-43.9279,-43.1332,-49.4056,-45.3760,-43.2619,-41.0320,-42.0000,-43.9151,-42.8524,-43.5831,-41.7105,-43.2189,-42.9315,-43.7231,-41.4337,-42.1243,-43.2907,-41.9898,-41.9357,-43.6174,-42.4868,-42.7251,-40.7103,-43.7456,-42.6058,-40.3094,-41.3192,-43.3356,-41.8975,-40.0414,-43.6346,-42.9822,-40.4754,-39.6756,-45.3962,-40.9039,-38.1191,-37.4902
40.0000,-46.1070,-47.0533,-47.3201,-47.3692,-46.8091,-47.6073,-47.5744,-47.7830,-45.7718,-46.2980,-46.3375,-46.0583,-46.0656,-46.3801,-47.1571,-45.0192,-45.4954,-47.6218,-46.1553,-45.3237,-45.4434,-48.4367,-45.1475,-44.2675,-48.7645,-47.3204,-45.0344,-43.2882,-48.9837,-45.9423,-43.8568,-41.7909,-42.0536,-43.3078,-42.3640,-42.5892,-41.9097,-42.9056,-42.6599,-42.3012,-40.7321,-41.6586,-42.3605,-41.9042,-41.1695,-43.2236,-43.2359,-42.0050,-40.7283,-43.9837,-41.7045,-40.1562,-42.7390,-44.3296,-41.7149,-40.4551,-44.3543,-42.3259,-41.0545,-39.4147,-45.7292,-41.9957,-38.5239,-37.9927
50.0000,-45.2528,-47.7035,-47.5153,-47.1215,-46.2446,-46.9894,-46.6332,-46.3627,-44.9033,-46.6772,-47.0413,-46.4309,-44.6449,-46.0541,-46.1102,-45.9607,-45.4513,-47.2330,-47.1964,-45.3949,-46.7790,-47.3661,-46.0929,-45.0347,-48.0654,-47.4132,-44.7185,-43.1098,-49.5542,-45.6948,-42.3989,-41.0267,-41.7815,-42.6990,-43.9234,-42.8755,-42.2589,-43.3247,-43.3007,-43.8155,-42.2098,-42.2661,-42.5324,-42.4176,-41.5972,-42.5277,-43.8914,-42.5103,-42.3678,-42.5964,-42.9548,-41.9360,-41.7071,-44.1324,-42.2333,-40.4032,-43.6142,-43.3355,-41.2470,-38.1190,-46.2273,-40.6002,-38.8624,-38.8062
60.0000,-46.9189,-45.9710,-46.4303,-46.7918,-46.3495,-45.6444,-47.9982,-47.9106,-44.8938,-46.0734,-46.7650,-45.7226,-45.8338,-46.2685,-45.9024,-45.6577,-46.5031,-47.7896,-46.7448,-45.8989,-46.7292,-46.8493,-45.4231,-44.0279,-47.7876,-46.0985,-45.3220,-43.6283,-49.1495,-45.5163,-42.8359,-42.8137,-42.0547,-43.1686,-42.5075,-42.7697,-41.8869,-42.6579,-42.8504,-42.8142,-41.4180,-43.5247,-42.4557,-41.7512,-40.5717,-42.2902,-43.0111,-42.0821,-41.4977,-43.8374,-43.3063,-41.2977,-42.0251,-43.2650,-41.7108,-40.2110,-44.9020,-42.2012,-39.7299,-38.3589,-45.8469,-40.5609,-39.8184,-37.1086
70.0000,-46.1238,-46.8078,-46.5615,-48.1814,-44.9944,-46.9888,-47.4181,-46.4861,-44.7521,-47.4061,-46.2442,-47.3535,-45.4385,-46.4156,-46.2022,-46.9496,-46.0889,-47.0367,-46.9466,-45.0871,-47.0868,-48.3092,-46.1104,-44.6861,-47.5750,-46.0238,-45.5113,-42.5706,-50.4155,-44.6659,-42.7321,-41.2263,-42.3799,-41.8433,-43.7234,-43.6611,-42.0841,-42.0908,-42.3436,-43.0817,-41.8795,-42.0029,-42.6185,-42.9642,-40.4974,-43.5481,-42.6640,-40.9300,-41.3949,-43.8755,-42.8551,-41.1558,-41.6057,-43.0681,-42.2506,-39.5646,-44.6077,-42.9823,-40.9831,-39.2812,-45.5049,-41.4099,-39.2087,-37.2334
80.0000,-46.9758,-46.8294,-46.6032,-46.2945,-45.0762,-46.6593,-47.7635,-46.6804,-45.1160,-46.8348,-47.6438,-46.5456,-44.7668,-45.9065,-47.5342,-45.2995,-45.1918,-46.1441,-47.3107,-45.6468,-46.3911,-47.0697,-46.4171,-44.0784,-48.6329,-46.2369,-44.0582,-43.7690,-49.1939,-44.3025,-43.6577,-41.5364,-42.2724,-43.0203,-43.4665,-43.2379,-40.9489,-42.3836,-42.4780,-42.8141,-40.7962,-42.8973,-43.9614,-43.1234,-40.9484,-42.0250,-42.0502,-42.7495,-41.1342,-43.4984,-42.9779,-40.6822,-41.9977,-44.0394,-41.9144,-40.4884,-43.4599,-43.3690,-41.2894,-38.9431,-45.2627,-40.9051,-38.1267,-38.9104
90.0000,-45.3848,-46.5929,-46.6470,-47.6207,-44.9347,-46.8307,-46.1669,-46.4182,-45.4025,-47.4666,-47.5997,-47.2678,-45.0523,-46.3344,-47.5364,-46.2218,-45.1668,-46.9418,-46.6573,-45.3386,-46.5381,-47.7265,-45.5711,-43.8435,-48.8896,-47.5137,-44.6449,-42.6256,-49.5314,-45.6673,-43.9088,-42.0339,-42.3970,-43.3278,-43.2467,-43.7370,-42.3167,-43.1623,-43.8250,-42.7811,-40.6350,-42.5288,-42.6027,-42.3093,-42.3117,-41.9708,-42.5944,-41.0061,-41.5825,-42.9844,-42.8359,-40.5598,-42.2891,-43.8982,-42.2796,-40.7685,-44.2420,-41.9432,-39.7452,-38.5259,-44.9799,-40.8210,-38.9654,-38.5021
100.0000,-46.3368,-47.0421,-46.4775,-46.3893,-45.6488,-47.1104,-47.9917,-46.9773,-44.5261,-46.1293,-46.1700,-46.1909,-45.5802,-47.5701,-46.3345,-46.5153,-46.0366,-48.0279,-45.8528,-44.3222,-45.4468,-47.5001,-46.1781,-44.2310,-48.5771,-47.4450,-44.1515,-44.0148,-48.9486,-45.0249,-42.1631,-41.7919,-42.1581,-43.4609,-42.8341,-43.4678,-40.9304,-41.8089,-43.1695,-42.2580,-41.7845,-42.0610,-42.5148,-41.6769,-41.5938,-42.6838,-42.3326,-41.4892,-42.6232,-42.9546,-42.3156,-40.5372,-41.7213,-42.6537,-42.0064,-39.6930,-43.5813,-43.6906,-41.0413,-38.0274,-45.7972,-40.5557,-39.8548,-38.6333
110.0000,-45.2886,-46.6545,-46.4389,-47.2198,-44.8828,-47.5917,-46.6465,-46.6102,-46.2642,-46.8457,-46.2583,-47.0251,-46.1929,-46.9675,-46.5419,-45.7638,-45.8932,-46.5482,-46.6609,-45.3908,-46.2238,-48.0296,-45.5844,-43.8388,-47.1788,-47.1242,-43.9956,-43.1642,-50.6741,-45.9931,-42.1540,-41.6409,-41.6704,-43.1288,-43.9077,-43.5763,-42.1624,-42.7926,-42.7245,-42.8653,-40.5436,-43.3149,-42.8558,-42.5363,-40.9658,-41.9202,-43.0743,-41.5215,-42.1718,-42.7063,-43.3454,-40.6830,-42.3298,-44.1506,-41.2010,-39.9958,-44.7813,-43.5720,-41.3482,-39.4638,-45.7558,-40.7378,-39.4746,-38.0277
120.0000,-46.4948,-45.9842,-46.9242,-48.2157,-45.2727,-45.8713,-46.4536,-47.7967,-44.6553,-47.5455,-46.6972,-46.3875,-44.4664,-46.6877,-47.8081,-46.4833,-45.4126,-47.5318,-46.7157,-44.7085,-46.0184,-46.7175,-45.3375,-43.3708,-48.5036,-47.4502,-44.5755,-42.7938,-50.6292,-45.3781,-42.5376,-41.4607,-42.4609,-42.2123,-44.1191,-42.5161,-41.8984,-42.8809,-43.7074,-43.6957,-41.4956,-43.6010,-42.0527,-43.1135,-42.2936,-42.1229,-42.4229,-42.3337,-40.8355,-42.1628,-42.5050,-40.3084,-42.2400,-43.4231,-41.5469,-40.0728,-43.3739,-42.4168,-39.4711,-38.8047,-45.2516,-41.2604,-39.2595,-38.7769
