Y_mm,S2_RX1_Low,S2_RX2_Low,S2_RX3_Low,S2_RX4_Low,S2_RX5_Low,S2_RX6_Low,S2_RX7_Low,S2_RX8_Low,S2_RX9_Low,S2_RX10_Low,S2_RX11_Low,S2_RX12_Low,S2_RX13_Low,S2_RX14_Low,S2_RX15_Low,S2_RX16_Low,S2_RX17_Low,S2_RX18_Low,S2_RX19_Low,S2_RX20_Low,S2_RX21_Low,S2_RX22_Low,S2_RX23_Low,S2_RX24_Low,S2_RX25_Low,S2_RX26_Low,S2_RX27_Low,S2_RX28_Low,S2_RX29_Low,S2_RX30_Low,S2_RX31_Low,S2_RX32_Low,S2_RX1_High,S2_RX2_High,S2_RX3_High,S2_RX4_High,S2_RX5_High,S2_RX6_High,S2_RX7_High,S2_RX8_High,S2_RX9_High,S2_RX10_High,S2_RX11_High,S2_RX12_High,S2_RX13_High,S2_RX14_High,S2_RX15_High,S2_RX16_High,S2_RX17_High,S2_RX18_High,S2_RX19_High,S2_RX20_High,S2_RX21_High,S2_RX22_High,S2_RX23_High,S2_RX24_High,S2_RX25_High,S2_RX26_High,S2_RX27_High,S2_RX28_High,S2_RX29_High,S2_RX30_High,S2_RX31_High,S2_RX32_High
0.0000,-45.9508,-46.6620,-47.8880,-48.6724,-45.5853,-46.8418,-48.6477,-48.0862,-45.0890,-47.5334,-47.4208,-47.0198,-45.2328,-48.2461,-47.5408,-47.0381,-45.0981,-48.2858,-48.0983,-46.4935,-46.0094,-49.3257,-47.8503,-46.5110,-47.6718,-48.0187,-46.3753,-43.8841,-51.7262,-47.7352,-44.7673,-42.2439,-42.1129,-43.7396,-44.7774,-44.8143,-42.3496,-42.2134,-44.5934,-44.6133,-41.4050,-43.4609,-43.5439,-43.2847,-41.8070,-43.2040,-44.3615,-42.5344,-42.7045,-43.5234,-43.4107,-41.5897,-43.2118,-43.9499,-42.8577,-41.0203,-43.9401,-44.8930,-42.6947,-39.4193,-49.2092,-42.4574,-41.1382,-38.8787
10.0000,-46.9536,-46.6371,-47.0218,-47.3411,-45.0629,-47.7401,-48.5682,-48.8823,-44.8151,-47.4888,-47.6874,-47.7649,-44.9912,-48.1994,-48.5646,-47.7600,-45.7482,-48.0196,-48.8414,-47.5105,-46.1616,-48.8694,-47.9414,-46.1508,-49.0636,-48.3083,-45.8940,-43.4824,-52.5832,-46.5744,-43.5652,-44.0875,-41.6870,-43.6467,-43.3306,-44.8976,-42.1785,-42.7869,-43.6221,-43.9217,-41.8052,-42.8729,-44.0793,-42.9920,-41.2025,-44.2585,-44.7989,-42.7697,-42.2978,-43.9439,-43.4753,-43.2812,-41.6831,-45.0029,-44.1776,-42.5449,-44.5599,-44.4480,-41.6284,-39.8999,-48.8366,-43.1421,-39.5180,-39.3132
20.0000,-46.4307,-46.9583,-48.8706,-48.9827,-46.5433,-46.9872,-47.8031,-48.4899,-45.6162,-47.8398,-48.5003,-47.2216,-46.0701,-47.4852,-48.4991,-47.8727,-46.3077,-47.5812,-47.9006,-45.8367,-46.0706,-48.2416,-47.4858,-46.3329,-48.5832,-49.1640,-45.5391,-44.2030,-51.7589,-45.8683,-43.6570,-42.8809,-43.0354,-42.9881,-43.2991,-43.4125,-42.7598,-43.0164,-42.9584,-43.9197,-42.6698,-42.3522,-43.1147,-44.1947,-41.4395,-43.0172,-44.0884,-43.8405,-41.3396,-42.8957,-44.2311,-43.0672,-43.0063,-44.8065,-43.3139,-41.3949,-43.2784,-45.2371,-42.6529,-39.6865,-48.8740,-43.0094,-41.0761,-38.8401
30.0000,-47.1375,-48.0185,-47.9893,-48.7165,-45.1969,-47.9674,-48.2919,-47.9282,-46.1933,-46.4986,-48.9196,-46.8729,-46.3441,-47.7577,-47.5729,-46.5776,-45.6618,-48.1961,-47.7435,-47.3432,-45.8901,-49.1562,-47.9840,-46.0547,-47.6588,-47.9009,-46.7442,-45.1127,-52.7345,-46.4277,-45.0074,-43.8498,-41.7867,-43.2818,-43.1541,-44.0946,-42.2965,-43.6611,-43.7498,-43.9211,-42.4559,-43.9737,-43.2732,-43.5651,-42.3909,-43.0557,-44.3739,-43.2865,-41.5163,-43.0828,-43.4145,-41.6860,-41.8803,-45.5619,-43.4750,-40.7370,-43.6391,-44.9618,-42.4530,-41.1679,-48.5035,-43.0076,-39.7698,-38.5548
40.0000,-45.5859,-46.4196,-48.6020,-47.4939,-45.6798,-46.3476,-48.0783,-47.9396,-46.1240,-46.2429,-48.5352,-47.8954,-45.9462,-47.4346,-47.1820,-46.6746,-45.4301,-47.5238,-48.0590,-45.8657,-46.7090,-49.3665,-47.9911,-44.6147,-48.4819,-48.7842,-45.8766,-44.0684,-52.5472,-47.3038,-45.4383,-42.8898,-41.8264,-43.4300,-44.8891,-43.9376,-41.8541,-43.2499,-43.8012,-43.2152,-42.6687,-42.9032,-43.1235,-43.3652,-41.7786,-44.0535,-43.2053,-42.8463,-42.7541,-43.9178,-44.1646,-41.8666,-43.5867,-44.3472,-42.9644,-41.0356,-43.3831,-45.7170,-42.4350,-39.6284,-48.0848,-43.2572,-40.7030,-38.6335
50.0000,-46.1435,-46.9818,-47.6738,-47.9367,-45.8040,-46.3202,-48.0368,-48.4516,-46.6156,-46.2459,-47.9593,-47.2229,-46.4043,-47.9167,-47.3247,-47.8552,-45.2244,-47.7053,-47.5062,-45.5559,-47.4220,-49.7017,-48.1421,-45.4105,-49.2194,-49.0661,-46.0625,-44.9961,-52.5539,-47.7123,-44.0863,-42.3785,-42.6369,-43.1326,-42.9905,-44.9998,-41.2927,-42.7207,-42.9806,-43.8264,-40.7224,-43.7145,-43.1472,-43.8661,-41.6158,-42.7720,-43.7778,-43.9864,-41.0307,-43.7505,-43.3166,-42.4643,-41.7094,-45.5386,-42.5205,-40.8528,-44.1944,-44.3620,-41.5878,-40.8750,-49.0083,-42.2865,-40.4727,-40.1764
60.0000,-47.2580,-47.9156,-47.9164,-47.4965,-45.6421,-47.3776,-47.6279,-47.2427,-45.0310,-47.1777,-47.2944,-47.1799,-46.6091,-47.1192,-48.8772,-47.6965,-45.2335,-48.5869,-48.3551,-46.4357,-46.9277,-48.1964,-47.4168,-45.8848,-48.8336,-49.2732,-45.7567,-45.3473,-52.7942,-46.2542,-45.1648,-42.2247,-42.6050,-43.9104,-42.9750,-44.9280,-42.3754,-42.8285,-44.4032,-44.6221,-41.3514,-42.4956,-44.6260,-43.2322,-42.1260,-42.8120,-44.9060,-43.4104,-42.6521,-44.8662,-43.2142,-42.5603,-43.0515,-45.3258,-42.9154,-42.3136,-44.0636,-44.3737,-41.5708,-40.7779,-48.8459,-43.8554,-41.2628,-39.3630
70.0000,-46.7870,-47.0398,-47.9451,-48.4440,-46.2155,-46.7196,-47.2581,-48.0625,-46.5096,-47.6429,-47.8783,-47.5357,-46.1296,-48.0532,-47.6524,-47.0980,-46.2299,-47.7666,-48.8478,-46.6684,-46.9453,-48.6917,-47.4239,-45.8328,-48.4989,-48.5648,-45.6197,-45.2321,-53.2516,-46.2610,-44.0594,-42.3204,-43.3087,-43.3207,-43.2690,-44.0818,-41.2617,-43.8575,-43.1774,-43.5095,-41.0138,-43.9586,-43.5925,-43.3550,-41.3947,-42.6771,-43.7948,-43.7706,-40.9486,-43.3128,-44.6796,-42.1227,-43.4280,-44.7327,-42.3591,-41.2244,-44.4524,-44.6139,-41.0097,-41.0590,-48.1998,-42.2847,-40.1091,-38.2610
80.0000,-46.6313,-46.4073,-48.7133,-47.7163,-46.9857,-47.5026,-47.9399,-47.8057,-46.6117,-46.8775,-47.6386,-47.7470,-46.4788,-48.3151,-48.5823,-48.1199,-45.3993,-48.0600,-48.8578,-46.7061,-45.5998,-49.1394,-47.0869,-45.6629,-48.7280,-48.3086,-46.0318,-43.6044,-53.4731,-46.7355,-43.8790,-42.4362,-42.0262,-42.7587,-43.3354,-44.0827,-41.3394,-42.4928,-43.3435,-44.2061,-42.4191,-42.9211,-42.9986,-44.3461,-41.6932,-43.0143,-44.2265,-42.8279,-41.9728,-44.1829,-44.1678,-41.8161,-42.6045,-45.3279,-43.4044,-41.7452,-45.0687,-44.2655,-42.0058,-40.1169,-48.6518,-42.5623,-40.9638,-39.8986
90.0000,-46.7083,-47.4426,-48.1957,-47.6439,-45.9571,-47.1142,-47.4668,-48.8885,-45.4243,-47.2276,-47.6931,-47.3479,-45.1359,-46.9923,-48.0076,-46.7769,-45.4045,-48.0589,-47.9288,-46.7852,-46.9308,-47.9079,-47.1128,-44.6934,-47.4666,-47.8698,-46.8129,-45.0429,-52.0054,-46.6496,-44.5121,-43.8135,-41.8983,-42.8422,-43.8399,-44.9986,-42.6730,-42.0583,-43.2951,-43.6503,-40.9823,-43.4155,-44.3338,-44.2474,-40.9813,-43.2354,-45.0931,-43.8336,-41.4879,-42.9954,-44.3124,-41.8756,-43.1469,-45.6422,-44.1853,-42.4397,-43.9156,-44.9589,-41.0983,-39.5656,-47.7592,-43.5446,-39.7520,-38.5984
100.0000,-45.9473,-46.7728,-47.0333,-48.8039,-45.4088,-47.8560,-48.4129,-47.1441,-46.4416,-47.5998,-48.3859,-48.4715,-46.5080,-48.0440,-49.0933,-47.4504,-46.5735,-47.2275,-48.0110,-45.9485,-47.5541,-49.6183,-47.2586,-46.3337,-48.7084,-49.7217,-45.8280,-43.8354,-53.5487,-46.9444,-43.7953,-42.2016,-42.9223,-43.8379,-43.0522,-44.8012,-41.5343,-43.7817,-43.5688,-44.5922,-42.3606,-42.8775,-43.4600,-44.4100,-40.8185,-43.0709,-44.6053,-44.0548,-41.6492,-43.3909,-43.3430,-42.0805,-42.8847,-44.0625,-43.0842,-42.5205,-43.6560,-45.7611,-42.3704,-41.1209,-48.7430,-42.9271,-40.8046,-40.1132
110.0000,-47.1834,-47.0207,-48.5666,-48.3821,-46.5256,-46.1435,-47.6807,-47.5203,-46.3415,-46.3732,-47.4687,-47.6803,-46.1687,-47.8652,-48.6785,-46.8753,-44.8688,-47.4808,-47.3402,-45.8622,-47.3856,-49.3313,-47.8540,-46.0251,-48.2945,-48.8816,-45.6252,-45.1818,-52.8255,-46.4214,-43.7194,-43.6745,-41.4401,-43.5828,-44.1561,-43.7378,-42.3763,-42.4619,-43.1478,-45.1491,-42.6445,-42.6506,-44.2077,-43.3487,-42.1602,-42.6289,-44.9222,-44.1681,-41.8515,-43.5171,-43.7320,-42.4269,-42.8377,-43.9678,-44.0986,-42.1445,-44.6980,-45.6164,-42.9373,-40.1181,-48.3871,-43.7611,-41.0912,-39.3359
120.0000,-46.1928,-47.3107,-47.0726,-48.5524,-45.8354,-47.8303,-48.7010,-47.9064,-46.4677,-47.4413,-47.4312,-47.4010,-45.6754,-47.2311,-48.7635,-46.4591,-45.1634,-48.7447,-47.0173,-47.3913,-45.6033,-49.5261,-47.0360,-45.0982,-47.2980,-49.6517,-45.6238,-43.9226,-52.1465,-47.6552,-43.6954,-43.9138,-41.4462,-43.2265,-44.6414,-45.1360,-42.5365,-42.7014,-44.8669,-45.1254,-42.2133,-43.0489,-44.4358,-44.4903,-41.9422,-42.6101,-43.7242,-43.1569,-42.8045,-44.8521,-44.1306,-41.9729,-42.2810,-44.1944,-42.5905,-42.1504,-44.7835,-45.3842,-42.1393,-40.1158,-47.7026,-43.0747,-40.2200,-39.2642
130.0000,-45.9587,-47.4886,-48.7717,-47.5817,-45.1842,-47.2213,-47.4146,-47.8512,-45.4522,-46.1255,-47.3974,-48.3417,-46.4608,-47.1144,-48.2644,-47.1949,-44.9079,-47.1810,-48.8222,-46.8857,-46.0075,-48.2113,-46.4923,-46.4808,-47.4819,-48.2679,-46.9300,-43.3884,-52.3095,-46.2175,-43.9992,-43.1406,-41.8393,-43.7341,-43.1444,-44.5220,-41.2401,-43.3228,-44.0491,-44.8830,-41.3505,-42.7562,-43.1631,-44.3937,-42.6498,-44.1713,-44.4382,-42.5870,-42.3308,-43.4824,-44.1544,-43.1242,-41.6889,-45.6659,-44.2562,-41.1789,-44.3849,-45.6692,-41.6514,-40.9057,-48.5089,-42.5175,-39.5521,-39.8934
140.0000,-45.7134,-46.8625,-48.3261,-47.6991,-46.7492,-46.1559,-48.5517,-48.8704,-44.7388,-47.7337,-47.7264,-46.8400,-46.5786,-48.2767,-48.7932,-47.0836,-45.6347,-48.8240,-47.2368,-45.6000,-47.0279,-49.3605,-47.6333,-46.2237,-47.7171,-48.1495,-45.3683,-44.8803,-51.6695,-47.1649,-44.7068,-42.4582,-41.3744,-43.2544,-44.2751,-44.8610,-42.3205,-43.2977,-44.1926,-44.0758,-42.6366,-43.6544,-44.7143,-44.1958,-42.1464,-43.6058,-43.8592,-43.7735,-41.5837,-44.6230,-43.4421,-42.3283,-42.3263,-43.9180,-42.3821,-40.8393,-43.9516,-44.7038,-42.5847,-40.2209,-49.2971,-43.6728,-39.9142,-38.3508
