Y_mm,S1_RX1_Low,S1_RX2_Low,S1_RX3_Low,S1_RX4_Low,S1_RX5_Low,S1_RX6_Low,S1_RX7_Low,S1_RX8_Low,S1_RX9_Low,S1_RX10_Low,S1_RX11_Low,S1_RX12_Low,S1_RX13_Low,S1_RX14_Low,S1_RX15_Low,S1_RX16_Low,S1_RX17_Low,S1_RX18_Low,S1_RX19_Low,S1_RX20_Low,S1_RX21_Low,S1_RX22_Low,S1_RX23_Low,S1_RX24_Low,S1_RX25_Low,S1_RX26_Low,S1_RX27_Low,S1_RX28_Low,S1_RX29_Low,S1_RX30_Low,S1_RX31_Low,S1_RX32_Low,S1_RX1_High,S1_RX2_High,S1_RX3_High,S1_RX4_High,S1_RX5_High,S1_RX6_High,S1_RX7_High,S1_RX8_High,S1_RX9_High,S1_RX10_High,S1_RX11_High,S1_RX12_High,S1_RX13_High,S1_RX14_High,S1_RX15_High,S1_RX16_High,S1_RX17_High,S1_RX18_High,S1_RX19_High,S1_RX20_High,S1_RX21_High,S1_RX22_High,S1_RX23_High,S1_RX24_High,S1_RX25_High,S1_RX26_High,S1_RX27_High,S1_RX28_High,S1_RX29_High,S1_RX30_High,S1_RX31_High,S1_RX32_High
0.0000,-47.4078,-48.2916,-47.5201,-45.9685,-46.9688,-49.0786,-46.9250,-46.4242,-46.9050,-48.5735,-47.0187,-46.4704,-46.1828,-48.0645,-48.0472,-44.9968,-45.3915,-47.4938,-48.4218,-45.4753,-44.6767,-45.4331,-48.3230,-48.1731,-42.4909,-45.0118,-47.4939,-50.6292,-42.0215,-42.2723,-45.2893,-50.4966,-43.5508,-44.5384,-42.3202,-43.0564,-44.8658,-44.6085,-43.3190,-41.4549,-43.4571,-44.9838,-43.1372,-41.2142,-43.2475,-43.3807,-43.4404,-41.4496,-42.0772,-44.0234,-44.8701,-41.3623,-40.9654,-41.4775,-44.0687,-42.9682,-40.1822,-40.1735,-44.2052,-46.9417,-37.7808,-39.6595,-41.3234,-47.4552
10.0000,-49.1855,-47.6886,-47.4829,-46.1798,-47.5080,-47.9855,-47.1066,-46.0228,-47.1303,-48.2458,-48.3027,-45.5631,-45.7457,-47.3296,-47.8228,-46.2363,-45.3169,-47.3820,-48.8781,-45.9296,-44.3306,-46.9555,-48.8216,-47.4617,-43.6292,-44.4582,-47.5595,-51.4364,-42.4990,-43.0503,-44.8935,-49.7916,-44.3818,-44.9905,-43.6897,-41.5988,-44.8874,-44.3358,-42.8804,-41.8886,-43.0870,-43.6739,-43.0120,-41.4069,-43.3257,-44.5381,-44.3513,-42.7067,-41.3744,-42.9592,-44.5544,-41.4386,-41.3614,-42.8896,-45.7691,-43.5730,-40.2020,-41.0208,-42.5140,-47.4303,-38.5294,-39.5591,-40.9003,-47.3231
20.0000,-47.9074,-47.4947,-47.5864,-45.7432,-47.3894,-48.9493,-47.8276,-45.8517,-47.6504,-49.2078,-48.1359,-45.6056,-47.1438,-48.7960,-47.9174,-45.2612,-44.6084,-47.5763,-47.6292,-46.3300,-45.2183,-45.1746,-48.2628,-47.2132,-42.8412,-44.8197,-46.9368,-50.1140,-41.9555,-42.2019,-44.1669,-51.5017,-43.6223,-45.0476,-43.5102,-41.5353,-44.0618,-43.7132,-43.6066,-42.0676,-42.3683,-43.3049,-44.3004,-41.7554,-42.3792,-43.1158,-44.4662,-41.0519,-42.3921,-43.8605,-43.7896,-42.3124,-39.8068,-41.9181,-44.7946,-43.1029,-38.4491,-39.7764,-43.2397,-47.3469,-39.5833,-39.9743,-41.0852,-46.4875
30.0000,-47.5759,-47.6868,-46.4906,-47.0941,-48.4384,-47.2838,-47.1815,-46.5055,-47.4340,-48.1369,-48.1623,-45.0601,-46.9690,-48.2405,-47.4859,-45.5448,-46.0107,-46.4780,-49.4441,-47.1376,-44.4765,-45.8911,-48.7663,-47.4662,-43.2737,-44.6330,-47.4425,-50.3604,-42.5675,-42.6788,-45.2979,-50.6848,-44.2545,-44.1258,-43.3080,-41.2683,-43.8929,-43.7944,-42.7418,-42.0070,-43.1901,-43.9993,-43.4965,-41.6655,-41.7030,-44.6160,-43.5303,-41.3792,-42.4490,-43.4905,-44.3649,-42.0302,-40.4836,-42.5809,-45.3950,-44.4592,-39.4190,-39.7689,-43.0018,-46.8638,-38.5838,-38.5993,-40.8567,-47.4175
40.0000,-48.3250,-47.8637,-47.7746,-46.9501,-48.0186,-47.7031,-47.7585,-46.9380,-47.8137,-48.8507,-47.0599,-44.7908,-46.1960,-48.0393,-48.1709,-46.0504,-45.0375,-46.9473,-48.4372,-47.1907,-44.9457,-46.7672,-49.4036,-46.6179,-42.4415,-44.8018,-46.6203,-49.8581,-43.6360,-44.0593,-44.8445,-50.8656,-43.5503,-43.1813,-42.8997,-41.9600,-44.1441,-44.9497,-42.7857,-42.2559,-43.9795,-43.2697,-43.1230,-42.6979,-43.4894,-44.5540,-44.0413,-42.6147,-42.3941,-44.2868,-44.6600,-42.0907,-40.8807,-41.1551,-45.3261,-42.5259,-39.8233,-39.9546,-43.7132,-47.3404,-38.5876,-39.5902,-40.2522,-46.7581
50.0000,-48.0099,-48.1042,-48.0620,-45.1905,-48.0656,-47.2555,-47.1550,-46.6060,-46.6840,-48.5594,-47.8018,-46.4658,-47.6314,-49.0491,-47.7837,-45.4964,-45.5112,-46.9732,-48.4160,-46.2091,-44.2503,-45.4687,-49.0864,-48.2489,-43.0435,-44.7154,-47.3297,-50.4824,-42.3094,-43.3948,-45.3567,-51.4385,-43.2295,-43.9105,-43.9540,-42.8431,-44.6510,-43.9700,-43.0808,-41.1162,-42.4362,-44.7232,-43.4417,-42.4554,-42.9062,-44.4225,-44.1181,-41.2714,-41.0839,-44.2496,-44.2669,-41.4391,-39.8527,-41.1284,-45.4026,-42.7908,-39.5501,-41.3806,-42.9842,-46.4804,-38.4522,-39.4823,-40.0753,-46.9621
60.0000,-47.7715,-48.9096,-47.6758,-45.9060,-48.8570,-48.0474,-48.1388,-46.7816,-47.8451,-47.3674,-46.5857,-45.8575,-47.0719,-47.6496,-47.6762,-46.7717,-45.0193,-48.2278,-48.1658,-46.6940,-45.4430,-45.6171,-48.9215,-46.6067,-43.6734,-44.1430,-47.5817,-51.4143,-41.8576,-43.3099,-45.9028,-50.7559,-44.2638,-43.8289,-43.7562,-42.5469,-44.0784,-43.7769,-43.9538,-41.6281,-43.0520,-43.5824,-43.6420,-41.2392,-41.7080,-43.1102,-43.8654,-42.5478,-42.2556,-42.7641,-43.7678,-42.7268,-41.4107,-41.7787,-43.9604,-43.7812,-39.5194,-40.2819,-44.1337,-45.9815,-39.5584,-39.9412,-41.3129,-46.9160
70.0000,-49.1644,-47.3763,-47.0331,-46.8468,-47.2656,-48.3869,-48.1902,-46.8838,-46.7241,-48.1725,-47.9238,-45.5301,-46.1937,-47.0566,-48.3041,-46.4716,-44.8634,-46.5253,-47.8467,-46.0898,-44.0671,-46.9020,-48.9275,-48.1284,-42.6974,-45.4048,-47.9312,-49.6645,-43.6741,-42.8957,-44.1751,-51.3794,-43.2859,-45.0578,-42.4256,-42.1190,-44.6113,-44.7201,-42.8371,-42.9059,-42.7211,-44.7778,-44.3522,-42.4229,-43.5692,-44.6077,-43.3639,-42.0229,-42.2466,-42.8333,-43.6806,-41.6859,-39.9411,-41.3280,-45.2242,-42.7838,-40.1428,-41.0657,-43.2642,-47.1212,-38.0585,-38.8980,-40.9597,-45.5157
80.0000,-47.2450,-48.1610,-48.0536,-46.4938,-47.3715,-48.6458,-47.4639,-46.4125,-47.7397,-47.7590,-46.6303,-45.4861,-45.9325,-48.4938,-47.1417,-45.3906,-46.1744,-47.0781,-47.8200,-45.5374,-43.6186,-46.2400,-49.9052,-47.6091,-43.5098,-44.7351,-46.7950,-51.1759,-42.9976,-44.7670,-46.5723,-53.1914,-43.4198,-44.0077,-43.1917,-41.3289,-44.8784,-44.5716,-44.1721,-42.0463,-43.9974,-45.0807,-43.6444,-40.8065,-41.6645,-44.2372,-43.3669,-42.7259,-41.2009,-43.8723,-44.6666,-42.9121,-41.0253,-41.8269,-45.3223,-42.7419,-39.7500,-41.5166,-44.1632,-46.7154,-38.1763,-39.4666,-43.0543,-48.4454
90.0000,-48.4533,-48.6378,-48.0960,-46.7021,-48.4017,-48.0390,-47.8020,-45.6874,-47.3973,-47.2423,-48.0589,-46.6768,-46.1209,-48.8690,-47.0821,-44.9494,-44.6565,-47.4834,-48.9578,-46.8155,-44.0511,-46.3745,-49.6606,-47.9839,-43.6684,-46.3982,-48.0736,-48.4671,-42.1395,-44.7139,-46.9435,-53.9726,-44.3464,-44.5884,-42.5687,-41.8233,-43.5389,-44.0092,-43.5777,-42.5675,-43.7732,-43.9927,-42.9660,-41.7027,-43.4147,-43.9076,-43.6626,-42.6159,-41.2798,-43.0544,-44.7966,-42.0123,-41.2783,-42.4858,-44.2934,-42.8940,-39.1307,-41.9376,-44.6419,-44.4317,-39.0065,-40.8220,-42.9308,-50.4104
