Y_mm,S2_RX1_Low,S2_RX2_Low,S2_RX3_Low,S2_RX4_Low,S2_RX5_Low,S2_RX6_Low,S2_RX7_Low,S2_RX8_Low,S2_RX9_Low,S2_RX10_Low,S2_RX11_Low,S2_RX12_Low,S2_RX13_Low,S2_RX14_Low,S2_RX15_Low,S2_RX16_Low,S2_RX17_Low,S2_RX18_Low,S2_RX19_Low,S2_RX20_Low,S2_RX21_Low,S2_RX22_Low,S2_RX23_Low,S2_RX24_Low,S2_RX25_Low,S2_RX26_Low,S2_RX27_Low,S2_RX28_Low,S2_RX29_Low,S2_RX30_Low,S2_RX31_Low,S2_RX32_Low,S2_RX1_High,S2_RX2_High,S2_RX3_High,S2_RX4_High,S2_RX5_High,S2_RX6_High,S2_RX7_High,S2_RX8_High,S2_RX9_High,S2_RX10_High,S2_RX11_High,S2_RX12_High,S2_RX13_High,S2_RX14_High,S2_RX15_High,S2_RX16_High,S2_RX17_High,S2_RX18_High,S2_RX19_High,S2_RX20_High,S2_RX21_High,S2_RX22_High,S2_RX23_High,S2_RX24_High,S2_RX25_High,S2_RX26_High,S2_RX27_High,S2_RX28_High,S2_RX29_High,S2_RX30_High,S2_RX31_High,S2_RX32_High
0.0000,-46.1862,-47.6083,-48.1260,-47.9426,-46.3619,-46.1832,-46.4553,-47.2232,-45.6674,-46.4437,-46.3128,-45.6422,-45.8513,-46.7010,-46.6183,-46.2621,-45.5483,-46.6918,-44.9725,-43.7374,-47.4410,-46.9294,-44.2797,-43.3756,-49.2120,-45.5696,-43.0722,-42.1272,-48.3464,-42.7448,-42.7173,-41.7870,-41.2478,-43.4319,-42.7253,-43.9588,-42.2076,-43.1327,-43.6068,-41.9357,-41.1624,-42.9346,-43.2853,-42.8672,-41.2862,-43.0691,-42.3588,-40.8405,-42.5604,-43.6691,-42.1778,-40.5865,-43.6410,-42.9183,-41.2420,-39.9419,-45.3828,-41.0339,-39.9143,-38.5329,-43.3336,-39.2793,-37.2477,-37.3925
10.0000,-46.9330,-46.5795,-48.3467,-47.7467,-44.9649,-47.2552,-47.1789,-46.4311,-45.5447,-46.8262,-47.4612,-46.5106,-45.1600,-46.5973,-46.1207,-45.2526,-45.4656,-46.8903,-46.0501,-44.2439,-46.4259,-47.6156,-44.6835,-42.8529,-49.7761,-45.3919,-43.8530,-41.9699,-47.5474,-43.6937,-41.2336,-40.4929,-41.2093,-42.5960,-43.8923,-42.6496,-42.2876,-43.8085,-43.9692,-42.1140,-41.2282,-43.2539,-42.4057,-41.3919,-41.7379,-43.3827,-43.3744,-42.0807,-41.9448,-43.1387,-42.7275,-39.6558,-43.6776,-42.9040,-41.4340,-39.4309,-45.3229,-42.4199,-38.8646,-37.0694,-43.3960,-38.6799,-37.8247,-36.2345
20.0000,-45.1340,-47.6689,-46.8025,-47.7506,-46.4032,-47.8116,-46.6872,-47.3846,-45.1719,-46.1802,-46.3964,-46.1179,-46.4681,-48.0815,-46.8189,-45.8327,-46.3027,-48.3739,-46.2916,-44.7356,-46.6533,-47.6792,-43.8141,-42.9269,-49.7483,-46.4316,-43.5128,-41.4719,-49.0974,-42.9020,-42.5875,-40.7824,-42.6794,-42.9101,-43.9486,-43.9357,-41.4933,-43.4104,-42.6169,-42.8740,-41.9051,-42.8805,-43.3872,-41.4223,-40.9484,-43.0058,-42.8630,-41.1298,-41.3817,-44.0741,-41.8099,-40.0808,-43.5745,-43.6107,-41.3104,-39.8486,-44.8883,-40.9537,-39.6910,-37.9758,-43.9742,-40.5177,-37.7069,-38.2656
30.0000,-45.6219,-46.7869,-47.7474,-46.5706,-46.5730,-46.9364,-47.8459,-47.3499,-45.6826,-47.7861,-47.7698,-47.0421,-45.7687,-47.6326,-47.1629,-44.2195,-47.1112,-48.0604,-46.2231,-45.1330,-46.8768,-47.8408,-44.6587,-43.2647,-49.4597,-46.2315,-42.9954,-42.7782,-47.9079,-44.4490,-42.2640,-41.0880,-41.3262,-43.7065,-43.2076,-43.2126,-41.2520,-42.7988,-42.6887,-41.8053,-42.3713,-42.1273,-44.0604,-42.4686,-41.4991,-43.3078,-43.0600,-40.8882,-42.1054,-44.0546,-41.1089,-40.6405,-42.6084,-42.7061,-40.0480,-39.5125,-46.6683,-41.3050,-39.4443,-38.9576,-44.7534,-40.3550,-37.0519,-37.3857
40.0000,-46.5292,-46.1203,-48.3701,-46.3471,-46.4201,-47.0542,-47.2557,-46.4744,-45.4823,-47.6272,-48.0388,-45.4888,-45.4392,-47.8044,-46.7671,-44.2690,-45.6727,-46.9158,-45.5283,-44.5273,-47.6156,-46.7315,-45.3489,-42.9116,-50.3213,-45.3027,-42.7165,-41.5392,-47.4857,-43.5081,-42.4141,-42.2354,-41.2521,-42.2499,-43.6969,-42.9141,-41.8713,-42.8420,-43.5510,-41.6864,-42.5743,-44.0349,-44.1047,-42.9824,-41.3730,-43.6405,-42.2265,-40.6671,-42.4197,-42.9257,-41.1079,-39.5305,-44.4288,-42.3949,-40.0987,-38.5052,-45.4002,-40.9574,-38.9698,-37.4841,-44.9800,-39.4269,-37.7034,-37.9659
50.0000,-45.8811,-47.4007,-47.0634,-46.7568,-45.0303,-47.1999,-47.8467,-47.4819,-46.2388,-47.8738,-46.5113,-46.2881,-45.1098,-47.3827,-46.5365,-45.2907,-45.6954,-48.6009,-45.5514,-43.3693,-46.7158,-46.5396,-44.6730,-42.9498,-49.6140,-45.4134,-43.9603,-42.7366,-48.4848,-43.9105,-42.4431,-40.6691,-41.3868,-42.8602,-44.3373,-43.4029,-41.8935,-42.0938,-43.9739,-42.7994,-42.2134,-42.4875,-43.1598,-41.5900,-42.0541,-44.0348,-42.1401,-40.6979,-41.2827,-42.8683,-42.5746,-41.0150,-42.5243,-42.4299,-40.5473,-39.7564,-45.6811,-41.3509,-38.8262,-37.3719,-44.8485,-39.3767,-38.4300,-37.1376
60.0000,-46.9398,-47.9767,-46.7722,-46.2258,-45.9557,-47.0104,-48.2804,-46.6646,-44.7565,-47.9212,-46.7679,-45.5162,-46.4577,-47.5475,-45.9986,-45.4102,-46.7452,-48.0949,-45.7593,-44.1074,-47.7235,-47.4831,-45.4763,-43.6546,-50.3979,-45.2012,-43.2289,-41.1532,-48.8748,-44.0066,-41.0090,-41.5720,-41.9101,-42.1551,-44.3951,-42.2138,-42.0092,-42.7235,-43.3233,-42.8228,-41.9114,-42.4006,-43.7238,-41.8186,-41.1968,-43.5982,-41.9732,-40.6590,-41.4655,-43.1520,-41.5281,-40.6755,-42.7501,-43.6911,-40.5626,-39.5738,-45.8039,-42.0549,-38.3941,-38.2200,-43.6064,-39.2300,-37.6950,-37.2285
70.0000,-45.5488,-47.5073,-48.2559,-47.5178,-45.2542,-45.9873,-46.4377,-47.4811,-45.1977,-47.8712,-47.7368,-45.9213,-45.7301,-47.6319,-45.9768,-44.2376,-45.8814,-48.5898,-46.1349,-43.3846,-46.4651,-46.4513,-44.6717,-42.9788,-48.9324,-46.5332,-42.8468,-42.2009,-49.0496,-42.9719,-42.7763,-41.6948,-41.6679,-43.2324,-43.0406,-42.4811,-41.3792,-42.7630,-42.7773,-41.8783,-41.8405,-43.6602,-43.1992,-42.6246,-42.4075,-42.7405,-43.0926,-40.2976,-42.3590,-43.7396,-42.2048,-40.1284,-42.8478,-43.9284,-41.4426,-39.6747,-44.9080,-41.9492,-38.7879,-37.9655,-44.0486,-40.6483,-37.6168,-36.7441
80.0000,-45.2647,-46.7594,-46.5219,-46.1385,-45.6758,-46.9167,-46.6294,-46.1870,-46.5742,-46.1159,-47.6157,-45.3033,-45.4816,-46.4476,-46.8571,-45.5768,-45.6363,-48.2403,-46.4124,-44.5342,-46.4794,-47.9975,-44.9213,-42.7477,-49.1884,-45.8865,-43.8407,-41.9647,-49.9382,-44.5719,-43.5625,-40.7446,-41.4215,-43.6874,-43.6921,-43.9380,-41.5160,-42.6704,-43.4603,-42.8786,-40.7083,-43.4957,-43.8297,-42.1232,-41.4135,-43.5356,-42.3158,-41.3634,-42.7084,-43.5091,-42.5451,-40.4358,-43.3214,-42.4986,-41.3807,-39.7797,-46.1702,-42.5131,-39.3205,-38.5628,-45.1097,-41.6765,-37.9426,-36.5422
90.0000,-45.7647,-46.4714,-47.6784,-46.6033,-45.4880,-46.4819,-47.1777,-46.5658,-45.4109,-46.5859,-47.3789,-46.1966,-46.2431,-46.9403,-47.0020,-45.5707,-45.6434,-47.1822,-45.3618,-43.5197,-47.8828,-46.3706,-44.2051,-42.4062,-49.3403,-45.9417,-44.2340,-42.6240,-49.9071,-44.1912,-41.7857,-41.1383,-41.2210,-43.0825,-42.4809,-43.6207,-41.3992,-42.6548,-42.4505,-42.5404,-41.0303,-42.6043,-43.5088,-41.6612,-42.4310,-43.8725,-42.3309,-41.1300,-42.1453,-44.0438,-42.7020,-41.0897,-42.7334,-43.8460,-41.4652,-38.1236,-44.1482,-42.9472,-39.8784,-39.6062,-45.7910,-41.1864,-39.3703,-37.5357
